revenue,growth_rate,burn_rate,market_score,risk
16795,0.9507143064099162,22575,0.5986584841970366,1
7265,0.15599452033620265,5426,0.45924889196586716,1
45131,0.14286681792194078,9322,0.020584494295802447,1
1769,0.7219987722668247,24333,0.0007787658410143283,1
38819,0.18340450985343382,21939,0.6116531604882809,1
7396,0.43194501864211576,9666,0.6118528947223795,1
19431,0.29214464853521815,26551,0.23277134043030423,1
20118,0.6183860093330873,2899,0.5142344384136116,0
12394,0.8599404067363206,9838,0.17052412368729153,0
11627,0.9422017556848528,11253,0.8083973481164611,0
3612,0.230893825622149,23619,0.4401524937396013,1
49555,0.4951769101112702,13206,0.17336465350777208,0
2585,0.662522284353982,20457,0.4251558744912447,1
44573,0.5467102793432796,8989,0.03131329245555858,1
6675,0.9394989415641891,27557,0.9266588657937942,1
33606,0.9218742350231168,8629,0.1959828624191452,0
2016,0.9611720243493491,25276,0.388677289689482,1
9529,0.5396921323890798,22271,0.3567533266935893,1
22243,0.6070342476866847,26068,0.14092422497476265,1
49984,0.9868869366005173,22847,0.3948815181755697,0
3695,0.005522117123602399,6258,0.19884240408880516,1
34159,0.7290071680409873,13666,0.07404465173409036,0
27854,0.6510770255019445,20483,0.8631034258755935,1
49033,0.09541011649041131,3454,0.6688412526636073,1
31818,0.5912977877077271,11965,0.8872127425763265,0
48716,0.9717120953891037,28266,0.7607850486168974,0
34270,0.770967179954561,26446,0.04043358953843135,0
1206,0.42754101835854963,25105,0.4393365018657701,1
49702,0.8957635956735194,24792,0.3143559810763267,0
46151,0.6955160864261275,15820,0.24929222914887494,0
2678,0.7555511385430487,2059,0.942853570557981,0
28890,0.16122128725400442,11817,0.6243540481337932,1
43557,0.6334037565104235,3693,0.45653457048291024,0
47699,0.18657005888603584,17157,0.8832802589188683,1
19047,0.8074401551640625,16707,0.3562978380769749,1
31080,0.22793516254194168,29605,0.0005203769953158188,0
10474,0.006952130531190703,22959,0.534089419375442,1
4748,0.6924360328902703,14545,0.33761517140362796,1
35766,0.16829104217293056,29319,0.5187906217433661,1
4304,0.4038361710580408,19237,0.9717820827209607,1
18675,0.25178229582536416,12649,0.712270589924442,0
28728,0.266781014275285,29673,0.5026790232288615,1
47645,0.033050732900548385,6855,0.9082658859666537,1
47717,0.1448948720912231,19091,0.44778316457309164,1
27309,0.2420552715115004,5931,0.08085332633271525,0
13688,0.7282163486118596,3327,0.4703006344460384,1
24509,0.5357746840747585,16087,0.7983451249845511,0
21666,0.18651851039985423,16708,0.8583588048137198,1
3811,0.6775643618422824,7546,0.7111495324380178,1
31206,0.22649577519793795,3911,0.09617655109142076,1
19343,0.3867353463005374,3385,0.837710105907328,1
9120,0.11347352124058907,15486,0.5414479738275658,1
31306,0.22855002179729966,23671,0.8172222002012158,0
12835,0.260829174830409,6423,0.9654193512887936,0
30855,0.6331014572732679,11248,0.2788713525921819,0
43642,0.7259556788702394,2154,0.8563242918780924,0
13183,0.8509284487675127,19032,0.16162871409461377,1
43405,0.6689882547142286,25829,0.009197051616629648,0
3557,0.9401334424577784,3200,0.005061583846218687,0
12969,0.6918951976926933,29367,0.9944574626108207,1
29643,0.7121792213475359,24328,0.4938937151834346,0
23399,0.7441705230565623,2218,0.6576128923003434,0
5555,0.50881407683876,13757,0.26520236768172545,1
7893,0.5898708475605439,15565,0.3930977246667604,1
11677,0.906098787718554,17609,0.3500784076946757,1
33352,0.5769038846263591,10151,0.8641675650719031,0
10007,0.2807723624408558,5642,0.768554014306309,0
19589,0.9539285770025874,4444,0.883494022266259,1
34828,0.9283185625877254,1301,0.9666548190436696,0
1699,0.8530094554673601,1190,0.30569701928718185,0
20778,0.1694927466860925,2816,0.3946914668094722,1
24093,0.696029796674973,2895,0.0704161308495439,0
5014,0.9900538501042633,4009,0.25416364906973876,0
46017,0.7407686177542044,9096,0.13662133144202881,0
13533,0.35949115121975517,22980,0.2965101436477985,1
39754,0.25620694359445806,11647,0.9132405525564713,0
25376,0.6278944149486361,29691,0.6499639307777652,1
7655,0.3967838272138884,11893,0.8900053418175663,1
14403,0.5788648955075587,23303,0.578280140996174,1
34621,0.32815266747473193,21153,0.5426446347075766,0
32289,0.03050024993904943,10907,0.0388347344294232,1
30749,0.5370824271966554,28236,0.5222432600548044,1
4051,0.9652518303907698,22606,0.085347464993768,1
1876,0.19438003399487302,5142,0.6995122107671938,1
8079,0.7260913337226615,29940,0.969536867114159,1
47185,0.32295647294124596,22136,0.39882090144479454,0
38945,0.07845638134226596,26316,0.18433367433137005,1
6949,0.8359801205122058,24944,0.6884999007653664,1
2081,0.9152137276264805,28425,0.23978735915740323,1
6237,0.7145959227000623,13775,0.9346139973397097,1
46952,0.9548652806631941,21454,0.6571113285001668,0
17964,0.6117207462343522,27870,0.04771612769164879,1
2679,0.15864644764249103,8253,0.014393488629755868,1
10435,0.04600264202175275,14296,0.3114133093912942,1
14245,0.7036578593800237,12151,0.09783416065100148,0
30222,0.3463043210894008,24805,0.43385164923797304,0
24049,0.9491457315913859,3849,0.26089362334171395,0
45690,0.5031362585800877,28392,0.5393774484000625,1
28663,0.07056874740042984,6878,0.9442515971251674,1
26471,0.6364035974460113,1851,0.575474177875879,0
36195,0.12850035323391018,6052,0.5456167893159349,1
39155,0.38610263780077425,6536,0.651484771857788,0
21764,0.06936130087516545,6726,0.37725908322797586,1
32996,0.0944429607559284,3082,0.3365542148887265,1
29761,0.3189756302937613,17281,0.6816136689727897,0
42576,0.4960374542934062,18209,0.6967371653641506,1
1412,0.039186326675646255,1728,0.8034809303848486,1
28384,0.5479718832480873,6988,0.7506147516408583,1
49816,0.7316477552996402,18955,0.37201808579278317,0
35911,0.34080354025301784,8357,0.5618666921437736,0
21150,0.7508710677914974,15552,0.23823615240397944,0
45912,0.5052523724478571,15191,0.38961808621920346,0
40954,0.3892016787341631,17779,0.9585414968831983,1
5360,0.31931363759041487,18101,0.6767699044243033,1
33307,0.5734378881232861,6486,0.08328441119525964,0
38259,0.32866454536991596,12130,0.21272789502422895,1
2167,0.7896181427945539,19540,0.9309291056872926,1
22689,0.057558760016644284,28870,0.05587115467735004,1
24714,0.8877041827582998,5330,0.7058314838786945,1
